username,email,password,longitude,latitude
fdimitrescu0,edabinett0@amazon.co.uk,MYX4TvcY,57.785,58.8411
cslade1,obusby1@mail.ru,3R2NH7jLG3V9,23.52108,38.07989
agibard2,jchasles2@engadget.com,etfgS9JDmwd,48.51341,41.36108
rbache3,sfandrich3@flavors.me,AGQHc3XPGE,-46.90139,-22.74194
kmelia4,gmussalli4@weebly.com,tR3M5dVN,126.56028,43.85083
cpetkens5,awhichelow5@walmart.com,M4u6DkhSadjk,-7.23333,54.18333
oshackel6,tcuncarr6@paypal.com,EfNdcayCiBYf,112.73333,49.15
bmicklewright7,bwellsman7@ehow.com,zVaiwe1,0.0833,43.2333
aweedenburg8,bcoady8@delicious.com,C7vc2BjqUH,16.82932,49.14216
aworral9,mpiniur9@last.fm,teM0SU96p,20.93,44.66278
lmatyukona,cmckendoa@networkadvertising.org,yZaMTI,-96.7163,16.9352
hstanleyb,ggallierb@state.tx.us,wne9BnP,-5.13023,34.48922
blevittc,bcrutchleyc@mozilla.org,VfX5PYmY,113.54317,33.62184
clarbyd,rducarmed@scientificamerican.com,52ZpUZsnWOdb,9.00472,4.2475
sbrashe,bsingerse@discuz.net,TxHdY2xc,166.21667,-21.61667
dbaxsterf,awalfordf@ucoz.ru,47faYt,111.10098,21.51277
coxberryg,mjervoisg@xinhuanet.com,zgtfXI8fYwAo,15.4371,60.4858
mlowneh,jwheadonh@home.pl,NLIuRWT6Z,-11.16667,8.88333
fizakofi,gklaiseri@biglobe.ne.jp,mtrZaFyF43u2,113.8758,-8.0843
brosettij,avinallj@opensource.org,Ofh9mB8C5,-5.1403,34.71923
uabelak,nmckennank@auda.org.au,BnBNI1RK26v,106.3566,-6.9099
rlucianol,dlucial@jiathis.com,G2Y5eWh6t,-82.43308,49.41694
jrissomm,arentollm@reference.com,niG15ZRLc9,-90.06667,15.3
dsaiensn,lpalethorpen@who.int,vxZVFhhYfxqR,-172.17768,-13.67147
srowtero,atremeero@adobe.com,tpEPbeQ,20.2,41.4
jmacaughtriep,nwealp@youtu.be,aobBbjWlfeq,2.3849,48.8157
ptatamq,gmounseyq@biblegateway.com,jF0HB3RU,115.78189,29.72504
ppickrellr,sdunfordr@domainmarket.com,LJ81E3,111.5147,-6.7202
arepps,bbracknalls@engadget.com,caKaXs9BB,105.75635,10.29085
latkynst,kbrandelt@squidoo.com,LwU9Tfs,109.13651,34.17095
wstogillu,ktyremanu@mayoclinic.com,TyZntYQ0g,113.88157,22.9999
vferrarv,cclawsonv@bbc.co.uk,HuP8Qb,19.37868,49.8371
fcromblehomew,zteaguew@weibo.com,HN9RkL,98.4854,3.6001
rdeighanx,afrangellox@issuu.com,soJ5rwZa,23.93333,37.88333
ogreeniny,mmcilvorayy@ihg.com,NpEeT4uGE1ns,20.02885,49.61455
estuddz,acaesarz@si.edu,W5ZppNAWfF,124.3317,-9.5953
kbeautyman10,sramsay10@eepurl.com,IUy3Pk4hYCT,139.06861,35.08944
drilton11,skingaby11@flickr.com,MMeMhiZp,21.08208,51.90425
dfeatonby12,bzohrer12@ocn.ne.jp,SPijl1Kj,-87.66667,13.46667
pgarwood13,caikett13@uol.com.br,Ms9Z7BV,31.9926,52.1693
mvivash14,ljenkerson14@unblog.fr,q5wBfiwuT,30.64649,31.13305
aaffleck15,msommerlie15@sourceforge.net,xSFRGmaDOPk,111.7021,-8.0589
jwinch16,ndinse16@rambler.ru,Ak1U14O3,19.08973,49.76282
tferronet17,kfadden17@bizjournals.com,XUq7ebJf,112.86356,41.60893
tvigurs18,toverton18@google.com,OpRdVlKa9,-91.0892,30.392
hjellard19,dkave19@github.io,PV2yuy6KyJVd,70.78902,38.45373
sacton1a,skowal1a@pcworld.com,5iuHjMXfzt,38.02112,47.80591
dmacleese1b,kdebow1b@usatoday.com,504olOhAI,119.407,-9.6355
jthams1c,cteresia1c@vkontakte.ru,QscbTU,2.9253,47.411
wkarpeev1d,slippini1d@apple.com,v2hsIRgLK,123.6395,11.0786
hlathe1e,jbalwin1e@mac.com,xWfwIbFP,-76.81667,-12.33333
asmales1f,mshirrell1f@zdnet.com,l2XJTXQtz7,-75.06667,7.18333
bhustings1g,kcobbin1g@moonfruit.com,MNR3CJLio3Ql,-56.81667,-26.96667
mhansen1h,vcapron1h@nifty.com,tf9hrhGBxd,119.23028,30.10361
ihlavac1i,strighton1i@umich.edu,wRqkufG,122.5685,11.448
mcanter1j,kscoterbosh1j@epa.gov,TtGca2tqajmD,111.6054,-7.1257
jloadsman1k,mstileman1k@state.gov,sV2JrgRNY,42.06206,36.81138
ahooks1l,hcarnoghan1l@archive.org,k46LrA,-149.31667,-17.75
bpieters1m,jstonnell1m@360.cn,iSmbZXrSuZ,34.11169,0.46005
mbatchellor1n,doldroyde1n@mayoclinic.com,5ZLQhFrP,111.79139,28.75944
mginity1o,damber1o@google.cn,WmCv4pEG3bCS,114.86605,28.64295
dgrollmann1p,gpaulot1p@smugmug.com,WUp4KT0T2OL,104.66667,12.25
sgerok1q,bnawton1q@timesonline.co.uk,WPjfBHkq,21.83333,61.1
bmcclay1r,lstclair1r@networkadvertising.org,a7tURPzQs,115.72826,22.86221
jhanburry1s,dgravatt1s@mayoclinic.com,Qa2ItgLQlvG7,-89.84222,13.75028
uvonhindenburg1t,tjeannon1t@tiny.cc,dE8MzX99rxy,120.56465,28.25226
rblowick1u,anorsworthy1u@technorati.com,H1MzY2ELIND,-46.79806,-21.96917
asalthouse1v,mpiechnik1v@yahoo.com,PJ8h0eV,119.5816,-9.5875
cdugall1w,jportman1w@sogou.com,Jc19S8gpHy,-8.6167,41.0833
pbrizland1x,wstockey1x@purevolume.com,turuULoqZwO,18.63566,3.65332
tregglar1y,fbroodes1y@webeden.co.uk,ERZA6TZF,133.43333,33.55
kjayume1z,spenn1z@photobucket.com,8VhEqQp,105.75563,29.81882
ecraise20,lhazlegrove20@bravesites.com,ozG96J0FB,-79.39909,43.76672
npes21,bstainson21@slashdot.org,ZQfZeBklDQn,30.97388,-17.50404
edyers22,olettsom22@earthlink.net,ZUDTUGLJJt,177.14511,-7.24562
ostears23,bbentame23@elpais.com,Bl8Eq2Xc,50.54778,26.21861
rarney24,cinglesfield24@github.com,wQxLdNjpF1hd,85.96392,52.62231
pbartol25,tcollinson25@buzzfeed.com,afvSs8zYpHUS,36.16524,47.65238
nopie26,lpurches26@bloomberg.com,D3cHMb4TkX5L,-56.1773,46.77914
wkleinbaum27,jpresser27@phoca.cz,wBYTgc0HY,-40.7475,-4.16694
tswate28,cspours28@dion.ne.jp,ed5cBEDv,-8.5417,39.5117
crudledge29,kpringour29@hao123.com,esMAuTGJ,-79.57139,-7.40056
fsnedker2a,hvardy2a@bloglovin.com,Y43QX3N,90.64403,22.68759
cmcmorran2b,mguynemer2b@alexa.com,DvvGVySZSR,18.96389,50.78015
somond2c,dminithorpe2c@blogs.com,c3fbS6B,108.1826,-7.7376
ssollime2d,hmitchel2d@msn.com,MXg3A2jes,65.39361,62.14056
kburkill2e,awixey2e@prweb.com,Na8XxdJvGQR,133.81667,35.43333
tbarnwille2f,eeddoes2f@nsw.gov.au,dYGzuJO,-8.5833,40.6333
mtrineman2g,irobens2g@symantec.com,UOZpsz,101.28403,13.58467
bwalkowski2h,dflacke2h@wikia.com,XVRfm4yY,13.3598,38.1158
hmorefield2i,gstocken2i@thetimes.co.uk,Igw9jopKWa,25.01667,61.08333
vmilch2j,rlongshaw2j@cargocollective.com,GDQVMkRPmYZj,16.69361,43.61528
edurrant2k,kplaydon2k@google.pl,fJw2Va7gla,35.69999,31.18248
alambden2l,dcurley2l@twitter.com,hX4Za78x1No,107.80295,-7.67916
mgherardesci2m,pcarpmile2m@amazon.com,KkWlV9EjXGH,-49.3,-28.71333
ttardiff2n,lhousbey2n@macromedia.com,Nvj6BQ,27.43372,62.37899
ccosson2o,gibbeson2o@163.com,pWnVvVN28S,-79.937,32.7831
kshitliff2p,agambell2p@arizona.edu,KVgUVta,111.5459,-7.2368
apretsell2q,wabate2q@toplist.cz,QdDDWEzyC,-95.1728,30.0042
tkeely2r,mjevon2r@illinois.edu,ZqkhSQiT,30.67314,60.01512
cculpen2s,kbrentnall2s@trellian.com,eN8xoI,7.743,48.5834
cjenkin2t,djanas2t@ning.com,lDAQRr,34.37916,35.59719
eboneham2u,plittrik2u@sina.com.cn,kMASPvHSM,36.77473,32.73932
kshorter2v,mrummings2v@51.la,8uhTtdbaP,-106.3,31.6948
glewington2w,mpender2w@patch.com,F7bSydyEHk,33.3387,53.7361
llearie2x,htofanini2x@noaa.gov,Yv5dBb,107.0267,-7.3212
deverix2y,dcamelia2y@pinterest.com,yHYq4p2Y,-111.7188,33.4707
nofield2z,dvosper2z@multiply.com,jsDNpxYfq,-46.56139,-21.78778
tkose30,rdigweed30@istockphoto.com,7PzmYgLtpIbq,-115.9671,34.84
smardlin31,gswalwell31@fda.gov,wHwYKR2egll,43.85083,43.5575
cluxen32,tchilley32@jalbum.net,urtbvb,-72.94783,5.95568
gpiken33,mcagan33@hibu.com,66WWZfFE1O1X,120.26719,40.93805
emccue34,singall34@imdb.com,WSIXxr7rw,105.23888,10.79832
mlibbey35,tsussams35@vistaprint.com,murWA7WQ,120.97685,17.08731
crobelet36,mrigmand36@ucsd.edu,yg9iY99ls1XW,14.48831,53.25243
mfairbank37,tlefeuvre37@t.co,i5QGNNDzlN,-1.21667,6.61667
rhanning38,klampett38@eventbrite.com,DkOawoK,-73.91667,5.26667
cbinnie39,apapis39@bloglines.com,agXQL7Yy,111.859,26.5844
tceller3a,mcolegrove3a@sogou.com,lomFZEq1NM3,-7.45,38.75
kgomme3b,bconry3b@odnoklassniki.ru,7aIR5kZ3,100.59436,54.39948
hcoulsen3c,erealy3c@livejournal.com,MML2AG0TwSN,36.74152,34.1527
bbassford3d,amarples3d@adobe.com,cVFnGAz7SLO,48.85306,53.125
acollcott3e,pbelchem3e@mapquest.com,1YGyia,124.73361,7.75778
jdureden3f,mesh3f@about.com,WIhQ0dywtbJ,176.98545,-37.95855
skealey3g,tcoultish3g@friendfeed.com,sLXtzVWocx,16.3631,49.188
lricold3h,gagirre3h@canalblog.com,JlK2EQ,109.16667,-6.93333
rspadollini3i,aroskams3i@networksolutions.com,M3esXjxLvg,43.28811,17.18126
tfowgies3j,bsalmoni3j@princeton.edu,abv6UAwy,19.10471,49.97971
dohenery3k,zjedrzej3k@utexas.edu,48YkifBErA,116.5726,40.29005
kbrundale3l,kcoweuppe3l@comcast.net,TrncGtD8,36.73307,55.38752
mcaneo3m,bwooller3m@youtube.com,0awWQBe,30.2625,53.7352
hkirsz3n,cabbets3n@dagondesign.com,65Jgddz7eXk,106.2056,29.07541
rbrosnan3o,wbushby3o@studiopress.com,e4Rg4ja2gUSv,-80.97306,-4.87722
eosirin3p,fjeannet3p@dailymotion.com,yYvxmJ79Ql,70.9425,40.52861
evanderkruys3q,kmcilory3q@live.com,Pjzi6WmjBqHc,23.28146,53.30509
rdaine3r,apurkess3r@weebly.com,xXtyW7p,108.93833,27.3575
rreape3s,jtwiggins3s@rambler.ru,IdzDj3AZ,111.87012,29.60487
abosch3t,kbridgman3t@businessinsider.com,jShyCC7k,-128.65342,54.05244
atopaz3u,gbuer3u@msu.edu,YgHTG1pbE928,108.5037,-6.711
brobker3v,tbottoms3v@salon.com,ElnJkoB,-65.00619,-31.721
tbretland3w,idufer3w@webmd.com,V31wJL,-74.58846,5.97584
gnovak3x,mblanpein3x@cargocollective.com,OyNhUf,34.00183,34.98213
egriston3y,aorhrt3y@alibaba.com,6Q5PlcMbOl8,-16.2546,28.4682
kwoodhams3z,hsimcox3z@blog.com,6UdE9Pwvg,-5.34458,34.80321
rmeasures40,otheyer40@webs.com,6JINSy,119.4717,-9.7028
cbeecraft41,cchaim41@sphinn.com,gjjV09,0.3615,46.663
sohern42,awestoff42@reference.com,IWApN4ihI,10.3951,63.4305
adansey43,sspilisy43@globo.com,bX45YrqEB3E,-86.67608,12.33953
mgoldby44,asmooth44@behance.net,YRBZKxslINsx,102.88919,35.67881
bchessun45,rbrinson45@blogtalkradio.com,UOLEUCtzVoAf,107.51809,28.54964
rdykas46,smccoll46@google.cn,L4YSCdS,20.28222,41.52194
tpaulot47,pdorr47@nsw.gov.au,QUBVdT,110.26294,19.89384
rfulks48,bdemars48@mlb.com,5XXWRrSJ7e5,113.60577,24.8222
gunger49,ijaze49@miibeian.gov.cn,MdzJJ1Pehm,122.9236,10.1785
abuckam4a,ksevery4a@abc.net.au,V8Zk80Xd,113.3338,-8.1942
bderyebarrett4b,pmeese4b@independent.co.uk,D4FH1C9j4gVa,-0.3774,39.4698
ecurr4c,hblasik4c@t-online.de,Ns768NMpm,6.139,43.1195
kknipe4d,vdorgon4d@uiuc.edu,upv8cuzK,95.43257,48.58876
rjuanes4e,pprobert4e@adobe.com,D03MumQ,-38.91944,-12.77778
lvenour4f,gsaby4f@tinypic.com,LTFRsg,24.11667,61.1
carmfield4g,trollitt4g@slideshare.net,KAcGKaM,69.01354,38.55632
gfielders4h,bboutcher4h@ted.com,EPXdJFtkF5ZD,69.13343,36.0649
shambrook4i,cmatveyev4i@thetimes.co.uk,3e0w730Nm,-8.5583,41.9333
rgrube4j,pmingaye4j@xinhuanet.com,1xPurDz3T,113.38815,23.75056
nbonds4k,icottam4k@ask.com,00K0jMu,15.11881,50.14242
cgrimm4l,fbarhims4l@boston.com,PBEqcwON,,
bframpton4m,afishbourne4m@wikispaces.com,Ex7InpxZN,103.3686,-3.7011
rhasely4n,lpotteridge4n@weebly.com,FhzZpTwHCbor,46.68794,32.46186
hskirlin4o,dcoad4o@go.com,1VI4jgQ2,110.9,26.63361
citzkovsky4p,fhavers4p@pcworld.com,kJI5bW6oHJ,123.745,13.7088
wferens4q,baskin4q@ucoz.ru,sAe7Sq1,48.34204,37.68585
scamolli4r,rzylberdik4r@skype.com,9AVaqB6ItSbT,37.68333,55.61667
jjeannot4s,atoquet4s@blog.com,7ySJo3pqty,120.5147,15.6633
arime4t,gmathivon4t@seattletimes.com,av8EtdRRq6x,-8.3167,41.0667
fpumfrey4u,msawdy4u@altervista.org,5B2BdctX,60.06276,42.12215
iskeates4v,sdaunter4v@guardian.co.uk,J35TyMMqmI,118.1276,25.64526
hleball4w,ekeaton4w@sciencedirect.com,UUcxa7mlCwT,15.68139,46.45194
cribeiro4x,sclouston4x@cargocollective.com,K7FHT1CczWm,119.06,27.69944
kbrunel4y,wdeem4y@ask.com,WgKhX7,112.61085,23.18755
dminigo4z,mwoolis4z@cam.ac.uk,PPkuvW,44.09595,55.81025
sfronzek50,babrahamoff50@hibu.com,5Y4i1ZI757by,18.45334,50.19003
alenham51,kwetherby51@cbsnews.com,QXo7Map,-8.7278,41.5333
cguage52,hpittson52@dion.ne.jp,2k4gN7,12.8568,56.6745
zrattry53,ocrudginton53@theglobeandmail.com,V0GnAFSX,114.82338,30.20945
fpatching54,aprester54@artisteer.com,V0qvk0ply,18.42764,44.87851
awoodham55,tsprackling55@shutterfly.com,fIE6HCaCO9,23.81667,62.63333
jrowena56,pchristofe56@earthlink.net,HV04I1e,25.34855,48.17882
etillyer57,meustace57@ebay.co.uk,psriXNI5C91,124.99917,10.16
dtuny58,lastill58@gov.uk,sp8wpQuTLi4,10.76488,-0.17827
bmatthews59,sjanata59@sakura.ne.jp,KR318kEY0a,106.32376,30.08274
msnoxall5a,jyakovl5a@canalblog.com,EG8OvtH,119.96333,30.40056
aavrahamy5b,fmussett5b@is.gd,tKiTyoec,17.08333,-23.31667
pbruneau5c,mblythe5c@nydailynews.com,72Uj2zujkIg,5.07692,7.87377
vwarrillow5d,gcaplen5d@discuz.net,0ohnyJU,15.23555,46.15463
kolorenshaw5e,gbrumble5e@intel.com,ERfjpwuuVp,-8.85,39.8667
pitzchaki5f,dgiacopello5f@loc.gov,yflvMwKa0,113.9938,-6.9609
ltripean5g,slasty5g@skyrock.com,Ut8KPiB2,21.75506,32.76272
cvankin5h,cglawsop5h@wix.com,ygVZhYZL,113.35741,39.212
gmacmenamin5i,sstuart5i@scientificamerican.com,W05sqtGjnjkO,109.60266,51.6162
hhark5j,agartside5j@dropbox.com,4Bip43,122.0902,13.7838
vsiddons5k,bmacgilfoyle5k@goo.gl,WF2g7wsA,120.4342,-9.8594
epickin5l,ctumulty5l@networksolutions.com,as0BmdBu966b,19.98028,40.35167
tedelman5m,ddoak5m@issuu.com,hpaAJompZxzh,30.12843,31.13385
lduplain5n,ccale5n@jimdo.com,M0zdGwU,70.20944,34.67139
ktoffler5o,jgress5o@intel.com,jPmR6hJX,120.5247,17.4471
jmanvelle5p,ecoskerry5p@wunderground.com,hwJba8m9,121.0726,14.5391
kdemarchi5q,oginglell5q@economist.com,qm7OuQC,119.9949,16.33999
escotchbrook5r,lclaffey5r@nymag.com,8RQupK,92.92528,56.11583
rkleinsinger5s,sroaf5s@tinyurl.com,by0qHWvzL,114.07272,28.10773
cbrambill5t,cboyan5t@unc.edu,qQ8b97,-90.76944,14.53972
cstolting5u,jmcgeneay5u@wisc.edu,ufpbXaCQ6Bb,-8.6,51.91667
fbeastall5v,bchurcher5v@census.gov,l5HKzC1P,108.09098,28.80711
pbocke5w,jlygoe5w@shinystat.com,F8g1ZoJ64JZH,-7.9878,40.4572
stouzey5x,kvorley5x@friendfeed.com,KbVyFaqGbA,-79.60028,-5.37306
fjaycock5y,cboerder5y@paypal.com,EUoZsSR,111.4181,-8.2025
ldows5z,deustice5z@facebook.com,LQKorEzHof,115.19035,28.13042
dscain60,rpenchen60@ca.gov,JdymOm6P,108.8309,-7.197
cjacombs61,lwildblood61@deliciousdays.com,omziSDM4u0,18.00427,50.37322
manker62,pskoggings62@pen.io,DAcFgkng7f,13.8237,58.7097
arouby63,mnornasell63@msn.com,iDFtxCt,12.4839,41.8947
geaslea64,astorch64@hc360.com,AGsNyhX1,111.15023,22.707
astorks65,tbrydie65@cpanel.net,3yv8MnyU,114.93293,23.41382
dkealey66,tguyon66@cargocollective.com,YxUuWK,111.1048,-6.7565
cclemenzo67,bgraysmark67@opera.com,ckzxgpY,133.18333,33.91667
vfozard68,arunacres68@example.com,27SjFL6UHtd,100.16972,38.96583
disbell69,kschelle69@upenn.edu,2qmdbB,116.06188,23.4985
asterling6a,emcsparran6a@whitehouse.gov,SHG8P3Cztc,14.1081,59.3098
aemps6b,lboays6b@imageshack.us,KP9Pup4,34.34464,44.578
hamoore6c,mschulze6c@hexun.com,z5n6KWg,59.965,57.91944
theelis6d,aitzkovici6d@pinterest.com,dtMG6qjNQ8f8,44.27622,16.90641
bmordey6e,gosler6e@shop-pro.jp,IMTWTMLhJBi,17.38141,49.03159
lemmet6f,jbending6f@dedecms.com,mxzPT20P,120.17117,30.3883
vcrepel6g,sposnett6g@prlog.org,tVLl3pFUHMF4,49.6,25.48333
ebrastead6h,wwinterbourne6h@ebay.co.uk,PghjQx4YHutX,17.9819,59.237
tbuswell6i,vcheeld6i@freewebs.com,ZWo56ZKw,37.63333,55.85
rderobertis6j,mfriedlos6j@mysql.com,h0pil1JRB65z,129.17083,37.44056
spregel6k,tcunliffe6k@flavors.me,k7KlrEUVQPd,119.1631,-9.64
ploiterton6l,jcrown6l@t.co,WJRaju89Hv7q,-71.254,42.3319
bdauncey6m,fstratton6m@eepurl.com,uMxtC1zG,-12.66667,9.4
kkopf6n,fenglishby6n@cnn.com,ojf1vm4aQ,112.41202,33.01686
dsatterthwaite6o,bragsdale6o@discovery.com,ayNrwuZB,118.77934,25.91675
spere6p,hmatas6p@umich.edu,nDZ5qE4zrR,3.38327,11.86819
mdunham6q,ccarryer6q@google.nl,l3BKVzB1RC,68.01551,36.26468
keilles6r,tmervyn6r@omniture.com,EiamQVrGRMq,36.93333,-4.2
dfrancesc6s,nclapshaw6s@apache.org,gQzIXG7i,42.2457,51.1945
chowick6t,sfeckey6t@hatena.ne.jp,WeDmrwbLEps,102.25808,16.10864
coki6u,dballe6u@hud.gov,wgaXwF,112.09348,23.23264
agorbell6v,jwhyatt6v@plala.or.jp,8aELM9wf,0.15,45.65
mmeaton6w,tbrookfield6w@europa.eu,kXRfkApNZOkS,101.42874,36.04408
ggiberd6x,wskynner6x@php.net,3eMYZav,54.01978,46.95307
fberdale6y,rashman6y@mapquest.com,3HPcWf,113.1954,-8.2142
apiller6z,tgoadbie6z@engadget.com,wy9PVdon3OEs,25.77173,48.36492
hpeyes70,jguislin70@archive.org,3orcCEsRKw,17.20111,43.49278
jramberg71,ufaucett71@un.org,XbeSpjrZ0,-90.63917,14.41611
kcowen72,mspeares72@yellowbook.com,F5piE1ioQeBo,-48.55806,-22.49472
jtallman73,dmckerlie73@amazon.co.jp,MmNZwQrvz,26.48069,37.5785
kforkan74,apatullo74@prlog.org,9opPt4zA1t,4.0333,49.25
celnough75,lnapleton75@microsoft.com,SkAEd0,-81.16306,7.98444
apierro76,bcastellino76@ucoz.com,N2NgdXd,103.7642,-5.03546
pgasquoine77,cpopple77@acquirethisname.com,vCYCLXVeWYBt,110.14194,27.70806
astadden78,alerohan78@cnn.com,PDuSqqd,-86.93333,15.7
cgobourn79,tshea79@tiny.cc,Qo8Omc1a6,,
efitchew7a,sswain7a@friendfeed.com,1bfgKW2nLFl,59.33483,57.23017
bburley7b,pjamrowicz7b@bigcartel.com,7OHsU2SGzl,110.05444,29.30833
cseiter7c,thellier7c@who.int,uolTk4,-122.25257,49.05798
jroughey7d,kfitzpatrick7d@harvard.edu,ow1CvmWO,106.27306,38.46806
wbirden7e,mcasino7e@chicagotribune.com,ebDqeC,15.9926,59.514
nneagle7f,bmaccallam7f@ihg.com,C7Igw0c,106.12704,21.38748
bhowtopreserve7g,ibalm7g@yolasite.com,pzHy81BlfkNU,20.29198,52.81983
alempke7h,gyurevich7h@macromedia.com,Meue2b,108.1333,-7.5126
syellowlee7i,vblazy7i@google.fr,JIu535C1zAPB,120.91558,14.25814
bprobat7j,jglazier7j@google.nl,ZrrNZAmppmg,-50.86833,-21.22778
mbruntjen7k,arisso7k@cdc.gov,jEnaTw,32.72703,62.71912
gnewbigging7l,dwoodcock7l@google.ru,mAx1mltL,-77.9162,39.5207
mmaddinon7m,kstebbing7m@google.co.uk,H3Nq1dJa,20.60153,45.0707
estut7n,dgrumley7n@washingtonpost.com,z8JNbV,115.41114,23.63083
vheintzsch7o,blipman7o@live.com,qucqOMI,73.4136,5.76687
fbrock7p,wmckeney7p@mail.ru,TQwJfIva4sr,4.0333,49.25
kohara7q,mlabrenz7q@ebay.co.uk,z9jsRWe,12.3906,58.356
gcarlet7r,rmalden7r@domainmarket.com,b24NS9Mos,107.9984,-7.0526
tnewport7s,cgarstan7s@soundcloud.com,S3yQS2Q,166.21667,-21.61667
hcollishaw7t,ocockcroft7t@histats.com,oTXpOTkv1Xc,46.00013,43.24206
ebreedy7u,lprobetts7u@pbs.org,6SR72aNN57,108.0074,-7.1595
lpockett7v,areddell7v@linkedin.com,4Z4fsg,5.3042,51.6992
ndoughton7w,abriar7w@wikimedia.org,9r430zW168xs,26.16667,43.45
rdoudny7x,mlow7x@samsung.com,sU7e7lAgmx9k,37.76861,45.43306
lcuree7y,pcolliar7y@sfgate.com,0vYyIkOSA,-87.6378,41.8756
fcicetti7z,rraffan7z@squarespace.com,wrCyWk,106.39714,32.09187
vwurz80,bsackler80@oakley.com,ItAoqb,-65.85823,48.16059
lounsworth81,mbeidebeke81@wordpress.org,atOxKiLxZ7r,-79.90139,9.35917
hharrema82,mgregolin82@ucoz.ru,qvclQfo6HAn7,-1.5534,47.2173
fricht83,ghofner83@deviantart.com,vUG2dX42q,106.18578,50.08578
rwynch84,jjosephov84@ihg.com,KrmQDKSLn68d,-98.6551,23.671
idemaid85,nscothron85@photobucket.com,2v8Voa,106.50762,10.51271
jjentle86,laickin86@examiner.com,GKh6r3GCSeN,20.58392,38.176
pcreavan87,sradish87@elpais.com,sxegbu1S2i,64.78361,35.92139
dreddan88,ecahani88@prlog.org,RikvCvoKH,122.75083,7.77028
